ts_ms,open,high,low,close,volume
1762447380000,25252.75,25254.75,25222.75,25245.00,0
1762447440000,25245.00,25261.75,25242.50,25260.25,0
1762447500000,25260.25,25260.50,25235.50,25241.25,0
1762447560000,25242.00,25253.50,25238.75,25246.00,0
1762447620000,25244.75,25247.25,25230.00,25237.25,0
1762447680000,25236.75,25245.75,25232.75,25236.75,0
1762447740000,25237.25,25239.25,25227.75,25233.50,0
1762447800000,25233.75,25251.50,25226.00,25239.50,0
1762447860000,25240.00,25258.50,25239.50,25252.25,0
1762447920000,25251.75,25278.50,25251.75,25278.25,0
1762447980000,25277.75,25284.75,25252.50,25256.50,0
1762448040000,25257.25,25277.00,25254.75,25272.75,0
1762448100000,25273.00,25273.25,25229.25,25234.25,0
1762448160000,25234.25,25245.00,25201.25,25206.50,0
1762448220000,25206.50,25231.50,25205.00,25231.00,0
1762448280000,25230.50,25237.25,25223.25,25228.50,0
1762448340000,25229.00,25231.75,25210.00,25221.75,0
1762448400000,25221.00,25263.25,25220.25,25257.75,0
1762448460000,25258.00,25273.00,25255.00,25256.75,0
1762448520000,25256.75,25271.25,25247.00,25269.00,0
1762448580000,25268.75,25272.75,25243.25,25250.25,0
1762448640000,25251.25,25270.75,25248.00,25267.75,0
1762448700000,25267.50,25277.25,25258.25,25273.75,0
1762448760000,25273.50,25280.25,25261.75,25278.00,0
1762448820000,25277.50,25280.00,25237.00,25238.75,0
1762448880000,25239.00,25255.00,25232.75,25240.00,0
1762448940000,25239.25,25278.75,25239.25,25278.00,0
1762449000000,25277.25,25299.75,25274.50,25297.25,0
1762449060000,25296.25,25309.00,25291.25,25299.00,0
1762449120000,25298.50,25301.00,25280.50,25289.50,0
1762449180000,25288.00,25292.00,25267.50,25271.75,0
1762449240000,25272.00,25275.75,25255.75,25257.75,0
1762449300000,25257.75,25259.00,25244.00,25247.00,0
1762449360000,25246.25,25256.50,25236.75,25238.50,0
1762449420000,25237.75,25257.75,25236.50,25253.50,0
1762449480000,25254.00,25277.00,25251.75,25262.50,0
1762449540000,25262.50,25265.25,25250.00,25261.00,0
1762449600000,25261.00,25261.25,25242.25,25249.25,0
1762449660000,25249.50,25251.25,25214.75,25221.25,0
1762449720000,25221.25,25230.25,25219.50,25226.50,0
1762449780000,25225.50,25241.25,25215.75,25216.75,0
1762449840000,25216.25,25232.25,25215.25,25220.75,0
1762449900000,25220.00,25222.25,25208.25,25219.00,0
1762449960000,25219.50,25229.75,25197.75,25214.50,0
1762450020000,25214.25,25233.00,25212.00,25230.75,0
1762450080000,25230.25,25238.00,25227.25,25234.50,0
1762450140000,25234.50,25247.75,25230.75,25245.00,0
1762450200000,25245.75,25246.25,25231.50,25240.00,0
1762450260000,25240.50,25250.75,25230.00,25242.25,0
1762450320000,25242.50,25270.00,25241.75,25266.75,0
1762450380000,25266.50,25280.75,25261.75,25269.75,0
1762450440000,25269.25,25271.25,25245.00,25249.50,0
1762450500000,25249.25,25275.25,25248.00,25271.25,0
1762450560000,25271.25,25275.00,25259.25,25270.25,0
1762450620000,25270.50,25282.25,25263.50,25263.50,0
1762450680000,25263.25,25283.25,25261.50,25282.75,0
1762450740000,25283.25,25283.25,25249.50,25251.00,0
1762450800000,25250.50,25265.25,25247.25,25264.75,0
1762450860000,25265.25,25276.25,25256.75,25259.25,0
1762450920000,25259.00,25287.00,25258.75,25284.25,0
1762450980000,25282.75,25297.75,25282.50,25293.75,0
1762451040000,25294.50,25299.00,25283.00,25290.25,0
1762451100000,25291.75,25311.00,25288.00,25310.00,0
1762451160000,25310.50,25321.50,25307.00,25308.00,0
1762451220000,25307.50,25322.00,25302.25,25319.75,0
1762451280000,25319.00,25330.25,25317.75,25323.00,0
1762451340000,25323.00,25328.75,25315.25,25318.75,0
1762451400000,25319.25,25338.25,25318.75,25335.25,0
1762451460000,25334.50,25342.75,25331.75,25335.00,0
1762451520000,25334.50,25346.00,25324.00,25340.50,0
1762451580000,25341.00,25344.50,25324.00,25327.75,0
1762451640000,25328.00,25354.00,25326.75,25347.75,0
1762451700000,25347.75,25356.25,25339.75,25353.00,0
1762451760000,25353.50,25356.25,25346.25,25352.75,0
1762451820000,25353.75,25355.00,25336.25,25337.00,0
1762451880000,25336.00,25353.00,25334.25,25339.50,0
1762451940000,25340.25,25342.00,25326.25,25337.25,0
